x,y,,,,,,,
-19.99978,1.78E-11,,,,,,,
-19.89969,1.58E-11,,,,,,,
-19.79958,1.42E-11,,,,,,,
-19.69988,1.29E-11,,,,,,,
-19.59979,1.19E-11,,,,,,,
-19.49969,1.10E-11,,,,,,,
-19.39957,1.03E-11,,,,,,,
-19.29981,9.71E-12,,,,,,,
-19.19971,9.16E-12,,,,,,,
-19.0996,8.67E-12,,,,,,,
-18.99981,8.20E-12,,,,,,,
-18.89974,7.90E-12,,,,,,,
-18.79966,7.55E-12,,,,,,,
-18.69958,7.22E-12,,,,,,,
-18.59983,6.86E-12,,,,,,,
-18.49975,6.70E-12,,,,,,,
-18.39966,6.46E-12,,,,,,,
-18.29964,6.27E-12,,,,,,,
-18.19993,6.05E-12,,,,,,,
-18.09984,5.87E-12,,,,,,,
-17.99975,5.64E-12,,,,,,,
-17.89965,5.58E-12,,,,,,,
-17.79992,5.47E-12,,,,,,,
-17.69982,5.33E-12,,,,,,,
-17.59971,5.20E-12,,,,,,,
-17.49997,5.04E-12,,,,,,,
-17.39987,4.90E-12,,,,,,,
-17.29977,4.82E-12,,,,,,,
-17.19969,4.73E-12,,,,,,,
-17.09994,4.65E-12,,,,,,,
-16.99992,4.49E-12,,,,,,,
-16.89983,4.45E-12,,,,,,,
-16.79974,4.33E-12,,,,,,,
-16.69998,4.27E-12,,,,,,,
-16.5999,4.09E-12,,,,,,,
-16.49979,4.06E-12,,,,,,,
-16.40004,4.02E-12,,,,,,,
-16.29996,3.94E-12,,,,,,,
-16.19987,3.83E-12,,,,,,,
-16.09982,3.75E-12,,,,,,,
-16.00008,3.78E-12,,,,,,,
-15.90001,3.68E-12,,,,,,,
-15.79996,3.63E-12,,,,,,,
-15.69989,3.57E-12,,,,,,,
-15.60022,3.51E-12,,,,,,,
-15.50016,3.46E-12,,,,,,,
-15.4001,3.35E-12,,,,,,,
-15.30002,3.35E-12,,,,,,,
-15.20029,3.32E-12,,,,,,,
-15.10024,3.27E-12,,,,,,,
-15.00015,3.24E-12,,,,,,,
-14.90038,3.01E-12,,,,,,,
-14.8003,3.01E-12,,,,,,,
-14.70021,3.13E-12,,,,,,,
-14.6001,3.14E-12,,,,,,,
-14.50036,2.96E-12,,,,,,,
-14.40027,2.76E-12,,,,,,,
-14.30017,2.82E-12,,,,,,,
-14.20017,2.75E-12,,,,,,,
-14.10041,2.74E-12,,,,,,,
-14.00033,2.70E-12,,,,,,,
-13.90022,2.72E-12,,,,,,,
-13.80015,2.63E-12,,,,,,,
-13.70038,2.62E-12,,,,,,,
-13.6003,2.60E-12,,,,,,,
-13.5002,2.48E-12,,,,,,,
-13.40047,2.51E-12,,,,,,,
-13.30038,2.51E-12,,,,,,,
-13.20029,2.46E-12,,,,,,,
-13.10022,2.39E-12,,,,,,,
-13.00047,2.43E-12,,,,,,,
-12.90047,2.36E-12,,,,,,,
-12.80039,2.34E-12,,,,,,,
-12.70031,2.35E-12,,,,,,,
-12.60056,2.26E-12,,,,,,,
-12.50047,2.28E-12,,,,,,,
